transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee,init_time,mu,sigma,est_mu,est_sigma,est_shift
0xd5d53f713895e45cb6a325d9997635784d422f243aab49d26ec75b3ef694da46,42,19000039,308547,18619529034,17619529034,308547000000000,3.8795627545075315,-1.870173890564745,0.7221301518848864,-1.9000700467784055,0.7438400650055265,3.8836760972144537
0xf60ada5cf1de8d9fe0939dc769d0054d80ea09e0b285f932b3500d8a03ca99b9,46,19000039,46109,18321458151,17619529034,32365249655753,3.992630924608951,-1.870173890564745,0.7221301518848864,-1.9046071165632852,0.7458371179502473,3.996713997170597
0x064a7d9ed24b7066d22307fde821d1fe62cdd683724181a5a3d6be3022838d52,9,19000039,39410,25000000000,17619529034,290864360770060,3.9940279477564062,-1.870173890564745,0.7221301518848864,-1.9082821345429553,0.7443293246741797,3.999087492687839
0x3ff86154369dfe9f65fee5253bf8571700fedfa712c03211b6125a473d795804,129,19000039,82460,17669529034,17619529034,4123000000000,4.136925438973176,-1.870173890564745,0.7221301518848864,-1.8930202026364797,0.7456761054470966,4.140659859403648
0x93f7ff27ccc03fbe6f150a8ca7fd8e440ec1812ccbaf65cdb3e96b6daced512b,58,19000039,248457,17719529034,17619529034,24845700000000,4.149793423118699,-1.870173890564745,0.7221301518848864,-1.903826695561048,0.7433843073178642,4.153875631877464
0xa29b115c3d9fcdcdbe090dee0cbaf2795b5fd3c4de23f6d487c52744b1d0f147,101,19000039,21000,18619529034,17619529034,21000000000000,4.154191293992221,-1.870173890564745,0.7221301518848864,-1.9019597944772688,0.7493313471581983,4.15951278846337
0x856806a4949d7c89e38a8c324d6d7fb570027416f83110ebf331bb6fc10f54da,17,19000039,103226,22619529034,17619529034,516130000000000,4.161170182864852,-1.870173890564745,0.7221301518848864,-1.902447944933835,0.7529388812382285,4.166562590927943
0xf48f02699af3da98f65d8055e8f760602242161d49c64d08507466d1a554364e,161,19000039,51450,19000000000,17619529034,71025231200700,4.373866803750351,-1.870173890564745,0.7221301518848864,-1.8985281323405738,0.7389163586586535,4.377548473890625
0x387724641fdee64c24cd113c9c6d8c5b6b30ecdb78cdb211eb75de01dfc9a7a1,163,19000039,21000,18619529034,17619529034,21000000000000,4.420905424477021,-1.870173890564745,0.7221301518848864,-1.8924298822623935,0.7350231744178459,4.423927474662648
0x93435286e1931376279e32a8cd4953a765a09d2fdfb43de79d59a7f5e927f916,12,19000039,63209,23321458151,17619529034,360413237556453,4.516635472805274,-1.870173890564745,0.7221301518848864,-1.8869383999674936,0.7411510433014983,4.519090924388978
